,3gppSub,3gppUrb,dist,logDist,okumMetro,okumRural,okumSmall,okumSub,poly3,poly6
49,-94.3600851983447,-97.3600851983447,50,-115.425728270568,-21.6975381310853,6.74855019543148,-21.6431965197848,-11.7948771161123,-88.936375,-85.629853125
50,-94.616613302047,-97.616613302047,51,-115.604611843215,-21.9540662347875,6.49202209172921,-21.899724623487,-12.0514052198146,-89.182250641,-85.5412777147118
51,-94.868159961384,-97.868159961384,52,-115.780021727982,-22.2056128941246,6.24047543239218,-22.1512712828241,-12.3029518791516,-89.423934528,-85.4841601105408
52,-95.1149149632178,-98.1149149632178,53,-115.952090268075,-22.4523678959584,5.99372043055836,-22.3980262846579,-12.5497068809854,-89.661459607,-85.4570567847188
53,-95.3570574508807,-98.3570574508807,54,-116.120942384696,-22.6945103836213,5.75157794289546,-22.6401687723208,-12.7918493686483,-89.894858824,-85.4585533868285
54,-95.5947567054655,-98.5947567054655,55,-116.286696121859,-22.9322096382061,5.51387868831066,-22.8778680269056,-13.0295486232331,-90.124165125,-85.487264597125
55,-95.8281728567175,-98.8281728567175,56,-116.449463142107,-23.165625789458,5.28046253705872,-23.1112841781575,-13.2629647744851,-90.349411456,-85.5418339772006
56,-96.057457531005,-99.057457531005,57,-116.609349178366,-23.3949104637455,5.05117786277121,-23.340568852445,-13.4922494487726,-90.570630763,-85.6209338179929
57,-96.2827544429362,-99.2827544429362,58,-116.766454446487,-23.6202073756767,4.82588095084002,-23.5658657643762,-13.7175463607038,-90.787855992,-85.7232649851357
58,-96.5041999364022,-99.5041999364022,59,-116.920874022535,-23.8416528691427,4.604435457374,-23.7873112578422,-13.9389918541698,-91.001120089,-85.8475567616537
59,-96.7219234801479,-99.7219234801479,60,-117.072698188358,-24.0593764128885,4.38671191362823,-24.005034801588,-14.1567153979156,-91.210456,-85.992566688
60,-96.9360481223809,-99.9360481223809,61,-117.222012748602,-24.2735010551214,4.17258727139531,-24.2191594438209,-14.3708400401485,-91.415896671,-86.1570803994369
61,-97.1466909084143,-100.146690908414,62,-117.368899321942,-24.4841438411549,3.96194448536188,-24.4298022298544,-14.5814828261819,-91.617475048,-86.33991146076
62,-97.3539632648952,-100.353963264895,63,-117.513435609013,-24.6914161976357,3.75467212888101,-24.6370745863352,-14.7887551826628,-91.815224077,-86.5399011983651
63,-97.5579713537735,-100.557971353774,64,-117.655695639243,-24.895424286514,3.55066404000269,-24.8410826752136,-14.9927632715411,-92.009176704,-86.7559185296589
64,-97.7588163988289,-100.758816398829,65,-117.79574999855,-25.0962693315695,3.34981899494725,-25.041927720269,-15.1936083165965,-92.199365875,-86.9868597898125
65,-97.9565949872688,-100.956594987269,66,-117.933666039649,-25.2940479200093,3.15204040650741,-25.2397063087088,-15.3913869050364,-92.385824536,-87.2316485558583
66,-98.1513993486464,-101.151399348646,67,-118.069508076556,-25.488852281387,2.95723604512972,-25.4345106700865,-15.5861912664141,-92.568585633,-87.4892354681296
67,-98.3433176131175,-101.343317613117,68,-118.203337564668,-25.680770545858,2.76531778065873,-25.6264289345575,-15.7781095308851,-92.747682112,-87.7585980490445
68,-98.5324340508419,-101.532434050842,69,-118.335213267713,-25.8698869835824,2.5762013429343,-25.815545372282,-15.9672259686095,-92.923146919,-88.0387405192316
69,-98.7188292941624,-101.718829294162,70,-118.465191412675,-26.056282226903,2.38980609961378,-26.0019406156025,-16.15362121193,-93.095013,-88.328693611
70,-98.9025805440229,-101.902580544023,71,-118.593325833735,-26.2400334767635,2.20605484975324,-26.185691865463,-16.3373724617906,-93.263313301,-88.627514379152
71,-99.0837617619512,-102.083761761951,72,-118.719668106149,-26.4212146946918,2.02487363182498,-26.3668730833913,-16.5185536797188,-93.428080768,-88.9342860091393
72,-99.2624438487996,-102.2624438488,73,-118.844267670884,-26.5998967815402,1.84619154497658,-26.5455551702397,-16.6972357665672,-93.589348347,-89.2481176225614
73,-99.4386948113259,-102.438694811326,74,-118.967171950783,-26.7761477440665,1.66994058245025,-26.721806132766,-16.8734867290935,-93.747148984,-89.5681440800093
74,-99.6125799175929,-102.612579917593,75,-119.088426458926,-26.9500328503334,1.49605547618329,-26.895691239033,-17.0473718353605,-93.901515625,-89.89352578125
75,-99.7841618420754,-102.784161842075,76,-119.208074899819,-27.121614774816,1.32447355170073,-27.0672731635155,-17.2189537598431,-94.052481216,-90.2234484627558
76,-99.9535008012832,-102.953500801283,77,-119.326159263966,-27.2909537340238,1.15513459249296,-27.2366121227233,-17.3882927190508,-94.200078703,-90.5571229925763
77,-100.120654680632,-103.120654680632,78,-119.44271991634,-27.4581076133727,0.987980713143998,-27.4037660020723,-17.5554465983998,-94.344341032,-90.8937851625533
78,-100.285679153235,-103.285679153235,79,-119.55779567922,-27.6231320859754,0.822956240541373,-27.5687904746749,-17.7204710710024,-94.485301149,-91.2326954778795
79,-100.448627791218,-103.448627791218,80,-119.671423909811,-27.786080723959,0.660007602557755,-27.7317391126585,-17.883419708986,-94.622992,-91.5731389440001
80,-100.609552170129,-103.609552170129,81,-119.783640573054,-27.9470051028695,0.499083223647276,-27.892663491569,-18.0443440878965,-94.757446531,-91.9144248508571
81,-100.768501966929,-103.768501966929,82,-119.89448030996,-28.1059548996692,0.340133426847501,-28.0516132883687,-18.2032938846963,-94.888697688,-92.2558865544784
82,-100.925525052055,-103.925525052055,83,-120.003976501801,-28.2629779847956,0.183110341721118,-28.2086363734951,-18.3603169698227,-95.016778417,-92.5968812559077
83,-101.080667575966,-104.080667575966,84,-120.112161330466,-28.4181205087062,0.027967817810534,-28.3637788974057,-18.5154594937333,-95.141721664,-92.9367897774797
84,-101.233974050562,-104.233974050562,85,-120.219065835236,-28.5714269833029,-0.125338656786212,-28.5170853720025,-18.66876596833,-95.263560375,-93.2750163364375
85,-101.385487425854,-104.385487425854,86,-120.324719966245,-28.7229403585941,-0.276852032077407,-28.6685987472937,-18.8202793436212,-95.382327496,-93.6109883158936
86,-101.535249162184,-104.535249162184,87,-120.429152634846,-28.8727020949249,-0.426613768408167,-28.8183604836244,-18.970041079952,-95.498055973,-93.944156033133
87,-101.683299298339,-104.683299298339,88,-120.532391761102,-29.0207522310798,-0.57466390456306,-28.9664106197793,-19.1180912161068,-95.610778752,-94.2739925052621
88,-101.829676515797,-104.829676515797,89,-120.634464318593,-29.1671294485377,-0.721041122020957,-29.1127878372372,-19.2644684335647,-95.720528779,-94.5999932121974
89,-101.974418199396,-104.974418199396,90,-120.735396376716,-29.3118711321367,-0.865782805619951,-29.2575295208362,-19.4092101171637,-95.827339,-94.921675857
90,-102.117560494647,-105.117560494647,91,-120.835213140657,-29.4550134273872,-1.00892510087046,-29.4006718160867,-19.5523524124142,-95.931242361,-95.2385801235523
91,-102.259138361912,-105.259138361912,92,-120.933938989166,-29.5965912946529,-1.15050296813618,-29.5422496833524,-19.69393027968,-96.032271808,-95.5502674315775
92,-102.399185627662,-105.399185627662,93,-121.0315975103,-29.736638560403,-1.2905502338863,-29.6822969491026,-19.8339775454301,-96.130460287,-95.856320689004
93,-102.537735032983,-105.537735032983,94,-121.128211535252,-29.8751879657234,-1.42909963920669,-29.8208463544229,-19.9725269507505,-96.225840744,-96.15634404167
94,-102.67481827952,-105.67481827952,95,-121.223803170386,-30.0122712122609,-1.5661828857442,-29.9579296009605,-20.109610197288,-96.318446125,-96.449962620375
95,-102.810466073022,-105.810466073022,96,-121.318393827601,-30.1479190057622,-1.7018306792455,-30.0935773944617,-20.2452579907893,-96.408309376,-96.736822285271
96,-102.944708164616,-105.944708164616,97,-121.412004253116,-30.2821610973564,-1.83607277083967,-30.2278194860559,-20.3795000823835,-96.495463443,-97.0165893675997
97,-103.07757338998,-106.07757338998,98,-121.504654554782,-30.4150263227207,-1.96893799620393,-30.3606847114202,-20.5123653077477,-96.579941272,-97.2889504087709
98,-103.209089706517,-106.209089706517,99,-121.596364228007,-30.5465426392575,-2.10045431274077,-30.492201027957,-20.6438816242846,-96.661775809,-97.5536118967853
